"Nummer","Wort","Klasse","Strategie"
386,"schreien","1","Mitsprechen"
387,"Schule","2","Mitsprechen Großschreibung"
388,"schwarz","1","Merken"
389,"Schwein","--","--"
390,"schwimmen","3/4","Mitsprechen"
391,"See","3/4","Merken Großschreibung"
392,"sehen","1","Mitsprechen"
393,"sehr","2","Merken"
394,"sein","2","Mitsprechen"
395,"seit","2","Mitsprechen"
396,"Seite","--","--"
397,"selbst","3/4","Ableiten Merken"
398,"sich","2","Mitsprechen"
399,"sie","1","Mitsprechen"
400,"sieht","--","--"
401,"sind","1","Merken"
402,"singen","1","Mitsprechen"
403,"sitzen","1","Mitsprechen"
404,"sollen","2","Mitsprechen Weiterschwingen"
405,"Sonne","1","Mitsprechen Großschreibung"
406,"Sonntag","2","Weiterschwingen Großschreibung"
407,"Spaß","3/4","Weiterschwingen Großschreibung"
408,"spät","3/4","Merken"
409,"Spiegel","3/4","Mitsprechen Großschreibung"
410,"spielen","1","Mitsprechen"
411,"Spinne","1","Mitsprechen Großschreibung"
412,"Sport","2","Mitsprechen Großschreibung"
413,"springen","2","Mitsprechen"
414,"spritzen","3/4","Mitsprechen"
415,"Stadt","3/4","Merken Großschreibung"
416,"stehen","1","Mitsprechen"
417,"steigen","3/4","Mitsprechen"
418,"Stein","1","Mitsprechen Großschreibung"
419,"stellen","2","Mitsprechen"
420,"Stern","2","Mitsprechen Großschreibung"
421,"Straße","3/4","Mitsprechen Großschreibung"
422,"streiten","3/4","Mitsprechen"
423,"Stück","3/4","Weiterschwingen"
424,"Stunde","--","Weiterschwingen Großschreibung"
425,"süß","2","Mitsprechen Großschreibung"
426,"Tafel","3/4","--"
427,"Tag","1","Weiterschwingen Großschreibung"
428,"Tasche","--","--"
429,"Tasse","1","Weiterschwingen Großschreibung"
430,"Teller","3/4","Weiterschwingen Großschreibung"
431,"Tipp","3/4","Mitsprechen Großschreibung"
432,"tippen","--","--"
433,"Tisch","--","--"
434,"Tod","--","--"
435,"toll","1","Weiterschwingen"
436,"tot","--","--"
437,"tragen","2","Mitsprechen"
438,"trägt","--","--"
439,"Treppe","--","--"
440,"trinken","--","--"
441,"tun","1","Mitsprechen"
442,"über","--","--"
443,"Uhr","1","Mitsprechen"
444,"Uhu","2","Merken Großschreibung"
445,"um","--","--"
