Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
BUCHMEIER,HERMIT;Ringe;Ring;;;Substantiv;mask.;;;Nom;Plur;;;;8926.0;150.0;;;;6811.0;1161.0
HERMIT,LEIPZIG;Rio;Rio;;;Substantiv;;;;;;;;;;;;;8868.0;7461.0;1034.0
BUCHMEIER,HERMIT;Rippen;Ripp;;;Substantiv;fem.;;;Nom;Plur;;;;9107.0;146.0;;;;7957.0;948.0
BUCHMEIER,HERMIT,LEIPZIG;Risiken;Risiko;;;Substantiv;neut.;;;Nom;Plur;;;;7714.0;181.0;;;2650.0;6175.0;1326.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Risiko;Risiko;das;;Substantiv;neut.;https://www.dwds.de/wb/Risiko;0.0;Nom;Sing;;;;2322.0;869.0;1029.0;73.78;1807.0;1751.0;6482.0
BUCHMEIER,HERMIT;riskant;riskant;;;Adverb;;;;;;Pos;;;6299.0;238.0;;;;4790.0;1831.0
BUCHMEIER,HERMIT;riskieren;riskieren;;;Verb;;;;;;;;Inf;2830.0;678.0;;;;2470.0;4246.0
BUCHMEIER,HERMIT;riskiert;riskieren;;;Verb;;;;;Sing;;;Fin;5998.0;255.0;;;;5377.0;1565.0
BUCHMEIER,HERMIT;Rita;Rita;;;Substantiv;fem.;;;Nom;Sing;;;;3558.0;508.0;;;;4017.0;2282.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Ritter;Ritter;;;Substantiv;mask.;;;Nom;Plur;;;;3093.0;608.0;3732.0;17.2;6801.0;3114.0;3145.0
BUCHMEIER,HERMIT,LEEDS;Ritual;Ritual;;;Substantiv;neut.;;;Nom;Sing;;;;7903.0;176.0;4543.0;13.31;;6907.0;1136.0
BUCHMEIER,HERMIT;River;River;;;Substantiv;;;;Nom;Sing;;;;6448.0;231.0;;;;5418.0;1553.0
BUCHMEIER,HERMIT;Road;Road;;;Andere;;;;;;;;;6427.0;232.0;;;;4301.0;2102.0
BUCHMEIER,HERMIT;Rob;Rob;;;Substantiv;;;;Nom;Sing;;;;6124.0;248.0;;;;5905.0;1398.0
BUCHMEIER,HERMIT;Robbie;Robbie;;;Substantiv;fem.;;;Nom;Sing;;;;7629.0;184.0;;;;5816.0;1425.0
