Source;Word;Article;Forms;Wortart;Genus;URL;nur_im_Plural;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
BUCHMEIER,HERMIT;loswerden;;;;;;;3330.0;553;;;;2627.0;3929.0
BUCHMEIER,HERMIT;loszuwerden;;;;;;;6525.0;228;;;;5419.0;1552.0
BUCHMEIER,HERMIT;Lou;;;;;;;4668.0;356;;;;3554.0;2661.0
BUCHMEIER,HERMIT;Louie;;;;;;;5777.0;267;;;;9523.0;747.0
BUCHMEIER,HERMIT;Louis;;;;;;;4416.0;381;;;;1850.0;6065.0
BUCHMEIER,HERMIT;Louise;;;;;;;7170.0;201;;;;4478.0;1995.0
BUCHMEIER,HERMIT,LEEDS;love;;;;;;;5954.0;258;4833.0;12.15;;2816.0;3562.0
BUCHMEIER,HERMIT;Loyalität;;;;;;;6226.0;242;;;;4543.0;1956.0
BUCHMEIER,HERMIT;Lucas;;;;;;;4188.0;410;;;;3220.0;3015.0
BW1;Luchs;der;;Substantiv;;;;;;;;;;
BUCHMEIER,HERMIT;Lucky;;;;;;;9154.0;145;;;;6981.0;1121.0
BUCHMEIER,HERMIT;Lucy;;;;;;;3203.0;583;;;;2562.0;4076.0
HERMIT,LEIPZIG;lud;;;;;;;;;;;9723.0;8277.0;902.0
HERMIT,LEEDS,LEIPZIG;Ludwig;;;;;;;;;2924.0;23.5;4518.0;7046.0;1110.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Luft;die;;Substantiv;fem.;https://www.dwds.de/wb/Luft;0.0;786.0;3318;961.0;78.82;976.0;707.0;19958.0
BUCHMEIER,HERMIT;Luke;;;;;;;2308.0;872;;;;1787.0;6328.0
BUCHMEIER,HERMIT;Lunge;;;;;;;6225.0;242;;;;5599.0;1487.0
BUCHMEIER,HERMIT;Lungen;;;;;;;6154.0;246;;;;7244.0;1073.0
A2,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Lust;die;;Substantiv;fem.;https://www.dwds.de/wb/Lust;0.0;1531.0;1422;1537.0;49.5;2183.0;1259.0;9773.0
A1,BUCHMEIER,BW3,FEHLER300,HERMIT,LEEDS,LEIPZIG;lustig;;Lust;Adjektiv;;https://www.dwds.de/wb/lustig;0.0;825.0;3087;2422.0;29.98;7030.0;860.0;15572.0
BUCHMEIER,HERMIT;lustige;;;;;;;6324.0;237;;;;6075.0;1350.0
BUCHMEIER,HERMIT;lustiger;;;;;;;7347.0;194;;;;8323.0;895.0
BUCHMEIER,HERMIT;Luther;;;;;;;7044.0;205;;;;8840.0;822.0
BUCHMEIER,HERMIT;Luthor;;;;;;;6494.0;229;;;;7558.0;1016.0
LEEDS,LEIPZIG;Luxemburg;;;;;;;;;4689.0;12.74;4466.0;;
BUCHMEIER,HERMIT,LEIPZIG;Luxus;;;;;;;9029.0;148;;;7818.0;7738.0;986.0
