Source;Word;Article;Forms;Wortart;Genus;URL;nur_im_Plural
B1;Betreuerin;die;;Substantiv;fem.;https://www.dwds.de/wb/Betreuerin;0.0
B1;Betreuung;die;;Substantiv;fem.;https://www.dwds.de/wb/Betreuung;0.0
B1;Betrieb;der;;Substantiv;mask.;https://www.dwds.de/wb/Betrieb;0.0
B1;Betriebsrat;der;;Substantiv;mask.;https://www.dwds.de/wb/Betriebsrat;0.0
B1;Betriebsrätin;die;;Substantiv;fem.;https://www.dwds.de/wb/Betriebsr%C3%A4tin;0.0
A1,BW3;Bett;das;;Substantiv;neutr.;https://www.dwds.de/wb/Bett;0.0
B1;Bevölkerung;die;;Substantiv;fem.;https://www.dwds.de/wb/Bev%C3%B6lkerung;0.0
B1;Beweis;der;;Substantiv;mask.;https://www.dwds.de/wb/Beweis;0.0
A2;Bewerbung;die;;Substantiv;fem.;https://www.dwds.de/wb/Bewerbung;0.0
B1;Bewohner;der;;Substantiv;mask.;https://www.dwds.de/wb/Bewohner;0.0
B1;Bewohnerin;die;;Substantiv;fem.;https://www.dwds.de/wb/Bewohnerin;0.0
B1;Beziehung;die;;Substantiv;fem.;https://www.dwds.de/wb/Beziehung;0.0
BW3;Biber;der;;Substantiv;;;
A2;Bibliothek;die;;Substantiv;fem.;https://www.dwds.de/wb/Bibliothek;0.0
A1;Bier;das;;Substantiv;neutr.;https://www.dwds.de/wb/Bier;0.0
A1;Bild;das;;Substantiv;neutr.;https://www.dwds.de/wb/Bild;0.0
B1;Bildschirm;der;;Substantiv;mask.;https://www.dwds.de/wb/Bildschirm;0.0
B1;Billet;das;;Substantiv;neutr.;https://www.dwds.de/wb/Billet;0.0
B1;Billett;das;;Substantiv;neutr.;https://www.dwds.de/wb/Billett;0.0
B1;Biologie;die;;Substantiv;fem.;https://www.dwds.de/wb/Biologie;0.0
A1,BW1;Birne;die;;Substantiv;fem.;https://www.dwds.de/wb/Birne;0.0
A1;Bitte;die;;Substantiv;fem.;https://www.dwds.de/wb/Bitte;0.0
A2;Blatt;das;;Substantiv;neutr.;https://www.dwds.de/wb/Blatt;0.0
A1;Bleistift;der;;Substantiv;mask.;https://www.dwds.de/wb/Bleistift;0.0
