Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;IPA_phoneme;SAMPA_phoneme
A2;Plakat;plakat;das;;Substantiv;;https://www.dwds.de/wb/Plakat;0.0;;;;;;plakˈɑːt;"plak""A:t"
A1;Plan;Plan;der;;Substantiv;mask.;https://www.dwds.de/wb/Plan#1;0.0;Nom;Sing;;;;plˈɑːn;"pl""A:n"
B1;Planung;Planung;die;;Substantiv;fem.;https://www.dwds.de/wb/Planung;0.0;Nom;Sing;;;;plˈɑnʊŋ;"pl""AnUN"
B1;Plastik;Plastik;;;Substantiv;fem.;https://www.dwds.de/wb/Plastik#2;0.0;Nom;Sing;;;;plˈastiːk;"pl""asti:k"
A1,BW3;Platz;Platz;der;Plätze;Substantiv;mask.;https://www.dwds.de/wb/Platz;0.0;Nom;Sing;;;;plˈats;"pl""ats"
B1;Politik;Politik;die;;Substantiv;fem.;https://www.dwds.de/wb/Politik;0.0;Nom;Sing;;;;poːliːtˈiːk;"po:li:t""i:k"
B1;Politiker;Politiker;der;;Substantiv;mask.;https://www.dwds.de/wb/Politiker;0.0;Nom;Plur;;;;poːliːtˈiːkɜ;"po:li:t""i:k3"
B1;Politikerin;Politikerin;die;;Substantiv;fem.;https://www.dwds.de/wb/Politikerin;0.0;Nom;Sing;;;;poːliːtˈiːkərˌɪn;"po:li:t""i:k@r%In"
A1;Polizei;Polizei;die;;Substantiv;fem.;https://www.dwds.de/wb/Polizei;0.0;Nom;Sing;;;;pˌoːliːtsˈaɪ;"p%o:li:ts""aI"
B1;Polizist;Polizist;der;;Substantiv;mask.;https://www.dwds.de/wb/Polizist;0.0;Nom;Sing;;;;pˌoːliːtsˈɪst;"p%o:li:ts""Ist"
B1;Polizistin;Polizistin;die;;Substantiv;fem.;https://www.dwds.de/wb/Polizistin;0.0;Nom;Sing;;;;pˈoːliːtsˌɪstɪn;"p""o:li:ts%IstIn"
A1;Pommes frites;Pommes frites;;;Mehrwortausdruck;;https://www.dwds.de/wb/Pommes%20frites;1.0;;;;;;pˈɔməs frˈiːtəs;"p""Om@s fr""i:t@s"
BW1;Pony;Pony;das;Ponys;Substantiv;neut.;;;Nom;Sing;;;;pˈoːniː;"p""o:ni:"
B1;Portemonnaie;Portemonnaie;das;;Substantiv;neut.;https://www.dwds.de/wb/Portemonnaie;0.0;Nom;Sing;;;;pˌɔɾtmɔnˈeː;"p%O4tmOn""e:"
A2;Portion;Portion;die;;Substantiv;fem.;https://www.dwds.de/wb/Portion;0.0;Nom;Sing;;;;pɔɾtsjˈoːn;"pO4tsj""o:n"
B1;Portmonee;Portmonee;das;;Substantiv;neut.;https://www.dwds.de/wb/Portmonee;0.0;Nom;Sing;;;;pˈɔɾtmoːnˌeː;"p""O4tmo:n%e:"
A1;Post;Post;die;;Substantiv;fem.;https://www.dwds.de/wb/Post#1;0.0;Nom;Sing;;;;pˈɔst;"p""Ost"
A2;Poster;Poster;das;;Substantiv;neut.;https://www.dwds.de/wb/Poster#1;0.0;Nom;Sing;;;;(en)pˈəʊstə(de);"(en)p""@Ust@(de)"
A2;Postkarte;Postkarte;die;;Substantiv;fem.;https://www.dwds.de/wb/Postkarte;0.0;Nom;Sing;;;;pˈɔstkaɾtə;"p""Ostka4t@"
